TAHUN,NOMOR_URUT,DAERAH,PAJAK_ANGGARAN,PAJAK_REALISASI,RETRIBUSI_ANGGARAN,RETRIBUSI_REALISASI,KEKAYAAN_ANGGARAN,KEKAYAAN_REALISASI,LAIN_ANGGARAN,LAIN_REALISASI
2025,XI,Prov. DKI Jakarta,48000000000000.0,42714954906910.0,1396295297541.0,1270900854849.0,774000000000.0,484020829591.0,4028903045464.0,4547010403770.0
2025,XII,Prov. Jawa Barat,17691848216117.0,16060479725262.0,855125149196.0,791932422837.0,368060136003.0,371969489083.0,457175200899.0,454911033512.0
2025,1,Kab. Bandung,1476075067773.0,973966630074.0,623659990049.0,565307247940.08,83241073357.0,82642583246.0,49085929207.0,43670869577.0
2025,2,Kab. Bandung Barat,771086897175.0,580191678841.0,224648918659.0,141538083332.0,1253070525.0,1136835358.0,14642836786.0,13538385656.0
2025,3,Kab. Bekasi,3710547650722.0,3173418310117.0,464538857646.0,337726628517.0,9951365986.0,8114980194.0,16250000000.0,119773621365.0
2025,4,Kab. Bogor,4024905964409.0,3925345145289.0,1227753810171.0,1043528698928.0,78467664363.0,79190177537.0,550424939629.0,108197595936.68
2025,5,Kab. Ciamis,143616041050.0,127796322007.0,214915944650.0,166286380428.0,3165957483.0,3165903484.0,17737648000.0,20820777624.0
2025,6,Kab. Cianjur,419430439336.0,377933979304.0,557342507003.0,393458543148.0,8748383573.0,8748383573.0,168499170934.0,145385974914.64
2025,7,Kab. Cirebon,567949082583.0,506362290845.0,417421928532.0,340322542292.53,16079662741.0,15111908406.0,32648826695.0,30105465833.0
2025,8,Kab. Garut,326196482827.0,261018585863.0,55563035552.0,47368548296.0,7398376190.0,7398376191.0,364802400072.0,329832444036.0
2025,9,Kab. Indramayu,383025305956.0,360025719677.0,434845597016.0,334081392989.0,14296597694.0,12179980741.0,9495582750.0,27904851526.0
2025,10,Kab. Karawang,1766688516296.0,1551912165454.0,393323236755.0,344940377089.0,14195891565.0,11917017090.0,29666013366.0,42760575515.0
2025,11,Kab. Kuningan,235353291920.0,201194228363.0,214168071922.0,126931865533.0,6667050651.0,6667050641.0,22861527620.0,20051552892.0
2025,12,Kab. Majalengka,261977543684.0,234680608480.0,421111305021.0,385591861704.0,8634406494.0,7807541574.0,24061385259.0,29300108486.7
2025,13,Kab. Pangandaran,111549318218.0,99477103154.0,169411075953.0,99441820662.0,820000000.0,551716296.0,11531663342.0,11337175494.43
2025,14,Kab. Purwakarta,642235188000.0,461977624675.0,307115381420.0,238817494513.0,8610011859.0,6969904626.0,13359392773.0,15124599404.0
2025,15,Kab. Subang,519731030846.0,403830839825.0,274021634675.0,213781221399.0,26566306092.0,17471956962.0,128271669815.0,77028928657.0
2025,16,Kab. Sukabumi,465276376004.0,431988186703.0,385843287572.0,364486568677.0,11202474953.0,10465117846.0,26010724339.0,30238347250.0
2025,17,Kab. Sumedang,331553573179.0,294261688115.0,340780073450.0,285387417473.0,13236555322.0,9962045416.0,12867150576.0,11282731447.48
2025,18,Kab. Tasikmalaya,187959000531.0,161794510770.0,31409507999.0,22927238338.0,21772982444.0,21772982444.0,246964848401.0,171487325998.84
2025,19,Kota Bandung,3379066179476.0,3020248580045.0,677161920202.0,511175363547.0,21159611200.0,24051742490.0,68185204943.0,101732657658.0
2025,20,Kota Banjar,40622994805.0,37730873969.0,132237468609.0,114065652056.0,3740618937.0,3740618937.0,3373897554.0,2595465523.0
2025,21,Kota Bekasi,3470971273552.0,2692970467817.0,550841545427.0,511153640815.0,14946358920.0,14547536384.0,85863541757.0,105313767870.0
2025,22,Kota Bogor,1243958559538.0,1087559969613.0,429350280951.0,428639790282.17,38153497994.0,37011667932.0,33627605293.0,43512565189.0
2025,23,Kota Cimahi,328135093659.0,323748801990.0,214084090285.0,212916249574.0,9481160420.0,9481160420.0,26691656600.0,7552989858.0
2025,24,Kota Cirebon,382594769831.0,290911393424.0,339822727989.0,306049519650.0,15900000000.0,6561639947.0,19379819454.0,11195172850.0
