TAHUN,NOMOR_URUT,DAERAH,PAJAK_ANGGARAN,PAJAK_REALISASI,RETRIBUSI_ANGGARAN,RETRIBUSI_REALISASI,KEKAYAAN_ANGGARAN,KEKAYAAN_REALISASI,LAIN_ANGGARAN,LAIN_REALISASI
2021,XI,Prov. DKI Jakarta,37215000000000.0,34550405525182.3,755755000000.0,382136507516.0,390254277917.0,385494014852.0,6821077973050.0,6482116959556.69
2021,XII,Prov. Jawa Barat,17983290282110.0,18847793728565.0,43352284698.0,43051699952.0,415327213589.0,414780606267.0,1111566563540.0,905270879756.0
2021,1,Kab. Bandung,510575000000.0,510530594186.0,24665491984.4,25759623545.0,75346485281.0,75336872741.0,399456631882.4,372946186487.81
2021,2,Kab. Bandung Barat,391200000000.0,363095176294.0,37698929439.0,16012603926.0,494842021.0,628894651.0,152891452614.0,16573746851.0
2021,3,Kab. Bekasi,2065328229205.0,2008129085125.6,167329690000.0,182608474416.0,20176437653.0,18729447485.0,299673834154.0,219685767139.4
2021,4,Kab. Bogor,2090578509000.0,2462339432505.0,137901142404.0,115545927200.0,64271727832.0,71303513920.0,998571308721.0,1059228927347.0
2021,5,Kab. Ciamis,65525000000.0,70573588106.0,6673505000.0,7512811662.0,3700000000.0,3246369013.0,162834235500.0,191670347124.0
2021,6,Kab. Cianjur,182273728515.0,193954158229.0,23536408109.0,17521195138.0,10006537642.0,10321223500.0,522406070501.0,420971577143.0
2021,7,Kab. Cirebon,240056882000.0,263053751571.0,37505759240.0,31921261201.0,14633523000.0,12583255177.0,330337006907.0,337146407799.45
2021,8,Kab. Garut,122382000000.0,126588915160.0,17559136763.0,15259959070.0,6455066612.0,6455066625.0,346496738813.0,412479436063.61
2021,9,Kab. Indramayu,103135000000.0,118703383503.0,26766588250.0,24744740098.0,16349133073.0,15672938564.0,360427403000.0,290114349197.0
2021,10,Kab. Karawang,925965743000.0,1013577625833.0,57387862360.0,69152425074.0,5536491978.0,7946102415.0,438301921843.0,560976188506.0
2021,11,Kab. Kuningan,93422750000.0,92330861227.0,79655387010.0,68294838837.0,5907864248.0,5907864248.0,179122143360.0,179100406316.0
2021,12,Kab. Majalengka,163513872642.0,143395491452.0,20616923893.0,15511365009.0,5975849841.0,5944980467.0,336175891199.0,257397084389.29
2021,13,Kab. Pangandaran,58020065000.0,49719916743.0,57684200000.0,90352117638.0,261866550.0,0.0,34295735000.0,31715482296.0
2021,14,Kab. Purwakarta,362222567311.0,286419033471.0,37027771059.0,22871216419.0,7010000000.0,5749586485.0,179515462792.0,199885999455.0
2021,15,Kab. Subang,326008650331.0,230131644480.0,28183038500.0,15978195844.0,37665000000.0,21412189634.0,222937482833.0,167148668812.0
2021,16,Kab. Sukabumi,269732000000.0,284490305055.0,19593435000.0,16063599674.0,10343000000.0,10368839763.0,352254771231.0,295408160716.0
2021,17,Kab. Sumedang,217313708500.0,198243612757.0,16282030378.0,6733798976.0,12692068000.0,11164520965.0,240298331461.0,254137790064.29
2021,18,Kab. Tasikmalaya,89383145412.0,75239545192.0,9874182998.0,5150543572.0,28446283298.0,23193457737.0,300479018808.0,271340937399.5
2021,19,Kota Bandung,1808750000000.0,1645874901057.0,69506809600.0,29956638919.0,18885582468.0,15777448799.0,512661936120.0,350175732712.62
2021,20,Kota Banjar,15101024696.0,17459366138.0,3273575799.0,3219363012.0,3925340000.0,3925340000.0,115753550987.0,102500402923.0
2021,21,Kota Bekasi,1841686983386.0,1710904928234.0,94602066427.0,67443011771.0,13162087452.0,14152236353.0,543503419214.0,763117521117.0
2021,22,Kota Bogor,565600000000.0,624585072110.0,31609433495.0,35963873548.0,32420552150.0,32420552150.0,284920664675.0,277594495483.45
2021,23,Kota Cimahi,152786878291.0,179946082506.0,11404826000.0,11249715120.0,9956960000.0,9956960000.0,172473478843.0,132902319176.22
2021,24,Kota Cirebon,192012249000.0,163815564435.0,15099868000.0,10126553274.0,8055501000.0,6856419363.0,302139839500.0,161941685206.0
2021,25,Kota Depok,1061796522408.0,1133891198764.0,28945265307.0,38562246577.0,40265668579.0,40427126174.0,218593173466.0,170211004917.0
2021,26,Kota Sukabumi,50495372637.0,54455964378.0,6857790000.0,6604301840.0,4346251729.0,4346251729.0,247848938694.0,222175894362.0
2021,27,Kota Tasikmalaya,134827075623.0,139830453627.0,13089284000.0,9302738040.0,6405413970.0,6221179774.0,296489685209.0,289970630540.92
2021,XII,Prov. Banten,7196237282555.0,6576740326344.0,12036262100.0,10949894106.0,56079934229.0,56896567111.46,326177073218.0,198184452823.88
2021,1,Kab. Lebak,122215000000.0,156881369633.0,15075569938.0,15144412060.0,5941209868.0,5282756992.0,216651338645.0,207841139499.0
2021,2,Kab. Pandeglang,50854640742.0,44443215525.0,16820697695.0,11894541292.0,14090396805.0,14090396805.0,145211838079.0,85075898722.22
2021,3,Kab. Serang,442635000000.0,431057419963.0,38380148000.0,28801450560.0,18702820740.0,18702820740.0,464528108441.0,312524922370.0
