0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO.,DAERAH,PENDAPATAN,,,,,,,,,,,,,,,,,,,,,,,BELANJA DAERAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PENDAPATAN ASLI DAERAH,,,,,,,,,,,,,TOTAL PENDAPATAN ASLI DAERAH,,,TOTAL PENDAPATAN TRANSFER,,,TOTAL LAIN-LAIN PENDAPATAN YANG SAH,,,,BELANJA OPERASI,,,,,,,,,,,,,,,,,,,BELANJA MODAL,,,,,,,,,,,,,,,,,,,TOTAL BELANJA OPERASI,,,TOTAL BELANJA MODAL,,,TOTAL BELANJA TIDAK TERDUGA,,,TOTAL BELANJA TRANSFER BANTUAN KEUANGAN DAN BAGI HASIL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PAJAK,,,RETRIBUSI,,,PENGELOLAAN KEKAYAAN,,,LAIN PAD,,,,,,,,,,,,,,PEGAWAI,,,BARANG DAN JASA,,,BUNGA,,,SUBSIDI,,,HIBAH,,,BANTUAN SOSIAL,,,,TANAH,,,PERALATAN DAN MESIN,,,GEDUNG DAN BANGUNGAN,,,"JALAN, IRIGASI, DAN JARINGAN",,,ASET TETAP,,,ASET LAINNYA,,,,,,,,,,,,,,,
,,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%,ANGGARAN,REALISASI,%
