=== REF_KATEGORI_PAD ===
L1 | PAD-LAIN | Lain-lain PAD yang Sah | semua | parent:-
L1 | PAD-PAJAK | Pajak Daerah | semua | parent:-
L1 | PAD-PENGELOLAAN | Pengelolaan Kekayaan Daerah | semua | parent:-
L1 | PAD-RETRIBUSI | Retribusi Daerah | semua | parent:-
  L2 | PAJ-KABKO | Pajak Kabupaten/Kota | kabupaten_kota | parent:PAD-PAJAK
    L3 | PAJ-KK-BPHTB | BPHTB | kabupaten_kota | parent:PAJ-KABKO
    L3 | PAJ-KK-MBLB | Pajak MBLB | kabupaten_kota | parent:PAJ-KABKO
    L3 | PAJ-KK-OPSEN-BBNKB | Opsen BBNKB | kabupaten_kota | parent:PAJ-KABKO
    L3 | PAJ-KK-OPSEN-PKB | Opsen PKB | kabupaten_kota | parent:PAJ-KABKO
    L3 | PAJ-KK-PAT | PAT | kabupaten_kota | parent:PAJ-KABKO
    L3 | PAJ-KK-PBBP2 | PBB-P2 | kabupaten_kota | parent:PAJ-KABKO
    L3 | PAJ-KK-PBJT | PBJT | kabupaten_kota | parent:PAJ-KABKO
    L3 | PAJ-KK-REKLAME | Pajak Reklame | kabupaten_kota | parent:PAJ-KABKO
    L3 | PAJ-KK-WALET | Pajak Sarang Burung Walet | kabupaten_kota | parent:PAJ-KABKO
  L2 | PAJ-PROV | Pajak Provinsi | provinsi | parent:PAD-PAJAK
    L3 | PAJ-PROV-BBNKB | BBNKB | provinsi | parent:PAJ-PROV
    L3 | PAJ-PROV-OPSEN-MBLB | Opsen Pajak MBLB | provinsi | parent:PAJ-PROV
    L3 | PAJ-PROV-PAB | PAB | provinsi | parent:PAJ-PROV
    L3 | PAJ-PROV-PAP | PAP | provinsi | parent:PAJ-PROV
    L3 | PAJ-PROV-PBBKB | PBBKB | provinsi | parent:PAJ-PROV
    L3 | PAJ-PROV-PKB | PKB | provinsi | parent:PAJ-PROV
    L3 | PAJ-PROV-ROKOK | Pajak Rokok | provinsi | parent:PAJ-PROV
      L4 | PBJT-HIBURAN | Jasa Kesenian dan Hiburan | kabupaten_kota | parent:PAJ-KK-PBJT
      L4 | PBJT-HOTEL | Jasa Perhotelan | kabupaten_kota | parent:PAJ-KK-PBJT
      L4 | PBJT-LISTRIK | Tenaga Listrik | kabupaten_kota | parent:PAJ-KK-PBJT
      L4 | PBJT-MAKMIN | Makanan dan Minuman | kabupaten_kota | parent:PAJ-KK-PBJT
      L4 | PBJT-PARKIR | Jasa Parkir | kabupaten_kota | parent:PAJ-KK-PBJT
  L2 | RET-JU | Retribusi Jasa Umum | semua | parent:PAD-RETRIBUSI
    L3 | RET-JU-KEBERSIHAN | Pelayanan Kebersihan | semua | parent:RET-JU
    L3 | RET-JU-KESEHATAN | Pelayanan Kesehatan | semua | parent:RET-JU
    L3 | RET-JU-LALIN | Pengendalian Lalu Lintas | semua | parent:RET-JU
    L3 | RET-JU-PARKIR | Pelayanan Parkir di Tepi Jalan Umum | semua | parent:RET-JU
    L3 | RET-JU-PASAR | Pelayanan Pasar | semua | parent:RET-JU
  L2 | RET-JUS | Retribusi Jasa Usaha | semua | parent:PAD-RETRIBUSI
    L3 | RET-JUS-ASET | Pemanfaatan Aset Daerah | semua | parent:RET-JUS
    L3 | RET-JUS-PARKIR | Tempat Parkir Khusus | semua | parent:RET-JUS
    L3 | RET-JUS-PELABUHAN | Jasa Kepelabuhanan | semua | parent:RET-JUS
    L3 | RET-JUS-PELELANGAN | Penyediaan Tempat Pelelangan | semua | parent:RET-JUS
    L3 | RET-JUS-PENGINAPAN | Tempat Penginapan/Vila | semua | parent:RET-JUS
    L3 | RET-JUS-PENYEBERANGAN | Penyeberangan Orang/Barang di Air | semua | parent:RET-JUS
    L3 | RET-JUS-PRODUK | Penjualan Produk Usaha Pemda | semua | parent:RET-JUS
    L3 | RET-JUS-REKREASI | Tempat Rekreasi/Pariwisata/Olahraga | semua | parent:RET-JUS
    L3 | RET-JUS-RPH | Rumah Pemotongan Hewan | semua | parent:RET-JUS
    L3 | RET-JUS-TEMPAT-USAHA | Penyediaan Tempat Usaha | semua | parent:RET-JUS
  L2 | RET-PT | Retribusi Perizinan Tertentu | semua | parent:PAD-RETRIBUSI
    L3 | RET-PT-PBG | Persetujuan Bangunan Gedung | semua | parent:RET-PT
    L3 | RET-PT-TAMBANG | Pengelolaan Pertambangan Rakyat | semua | parent:RET-PT
    L3 | RET-PT-TKA | Penggunaan Tenaga Kerja Asing | semua | parent:RET-PT

=== SAMPLE: Prov. Jawa Barat 2024 ===
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 572864445961 | real: 689462415686
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-LAIN | ang: 0 | real: 0
  PAD-PAJAK | ang: 0 | real: 0
  PAD-PAJAK | ang: 23078029493976 | real: 23432058912013
  PAD-PENGELOLAAN | ang: 0 | real: 0
  PAD-PENGELOLAAN | ang: 0 | real: 0
  PAD-PENGELOLAAN | ang: 0 | real: 0
  PAD-PENGELOLAAN | ang: 0 | real: 0
  PAD-PENGELOLAAN | ang: 0 | real: 0
  PAD-PENGELOLAAN | ang: 430595755275 | real: 430658809497
  PAD-RETRIBUSI | ang: 0 | real: 0
  PAD-RETRIBUSI | ang: 800718924489 | real: 806580892930
  PAD-RETRIBUSI | ang: 0 | real: 0
  PAD-RETRIBUSI | ang: 0 | real: 0
  PAD-RETRIBUSI | ang: 0 | real: 0
  PAJ-KK-BPHTB | ang: 0 | real: 0
  PAJ-KK-BPHTB | ang: 0 | real: 0
  PAJ-KK-MBLB | ang: 0 | real: 0
  PAJ-KK-MBLB | ang: 0 | real: 0
  PAJ-KK-OPSEN-PKB | ang: 0 | real: 0
  PAJ-KK-OPSEN-PKB | ang: 0 | real: 0
  PAJ-KK-PAT | ang: 0 | real: 0
  PAJ-KK-PAT | ang: 0 | real: 0
  PAJ-KK-PBBP2 | ang: 0 | real: 0
  PAJ-KK-PBBP2 | ang: 0 | real: 0
  PAJ-KK-PBJT | ang: 0 | real: 0
  PAJ-KK-REKLAME | ang: 0 | real: 0
  PAJ-KK-REKLAME | ang: 0 | real: 0
  PAJ-KK-REKLAME | ang: 0 | real: 0
  PAJ-KK-REKLAME | ang: 0 | real: 0
  PAJ-KK-REKLAME | ang: 0 | real: 0
  PBJT-HIBURAN | ang: 0 | real: 0
  PBJT-HIBURAN | ang: 0 | real: 0
  PBJT-HIBURAN | ang: 0 | real: 0
  PBJT-HIBURAN | ang: 0 | real: 0
  PBJT-HIBURAN | ang: 0 | real: 0
  PBJT-HIBURAN | ang: 0 | real: 0
  PBJT-HIBURAN | ang: 0 | real: 0
  PBJT-HOTEL | ang: 0 | real: 0
  PBJT-HOTEL | ang: 0 | real: 0
  PBJT-HOTEL | ang: 0 | real: 0
  PBJT-LISTRIK | ang: 0 | real: 0
  PBJT-LISTRIK | ang: 0 | real: 0
  PBJT-LISTRIK | ang: 0 | real: 0
  PBJT-MAKMIN | ang: 0 | real: 0
  PBJT-MAKMIN | ang: 0 | real: 0
  PBJT-MAKMIN | ang: 0 | real: 0
  PBJT-PARKIR | ang: 0 | real: 0
  PBJT-PARKIR | ang: 0 | real: 0
  PBJT-PARKIR | ang: 0 | real: 0
  RET-JU-KEBERSIHAN | ang: 0 | real: 0
  RET-JU-KESEHATAN | ang: 0 | real: 0
  RET-JU-KESEHATAN | ang: 0 | real: 0
  RET-JU-LALIN | ang: 0 | real: 0
  RET-JU-LALIN | ang: 0 | real: 0
  RET-JU-PARKIR | ang: 0 | real: 0
  RET-JU-PASAR | ang: 0 | real: 0
  RET-JU-PASAR | ang: 0 | real: 0
  RET-JU-PASAR | ang: 0 | real: 0
  RET-JUS-ASET | ang: 0 | real: 0
  RET-JUS-ASET | ang: 0 | real: 0
  RET-JUS-ASET | ang: 0 | real: 0
  RET-JUS-ASET | ang: 0 | real: 0
  RET-JUS-PENGINAPAN | ang: 0 | real: 0
  RET-JUS-PENYEBERANGAN | ang: 0 | real: 0
