COUNT: 22
CODE: PAJ-KK-REKLAME | REAL: 29380751914 | ANG: 27999500000
CODE: PBJT-MAKMIN | REAL: 129233152030 | ANG: 124000000000
CODE: PBJT-HIBURAN | REAL: 5628239798 | ANG: 5460000000
CODE: RET-JUS-ASET | REAL: 6152011147 | ANG: 9572618250
CODE: RET-JUS-RPH | REAL: 372395000 | ANG: 282503000
CODE: PAD-PAJAK | REAL: 929261529986.45 | ANG: 849455000000
CODE: PAD-RETRIBUSI | REAL: 58931135490 | ANG: 55980517525
CODE: PBJT-LISTRIK | REAL: 610597356854.9 | ANG: 626000000000
CODE: PBJT-PARKIR | REAL: 15821168400 | ANG: 15000000000
CODE: PAJ-KK-PAT | REAL: 2575219356 | ANG: 2025000000
CODE: PAJ-KK-PBBP2 | REAL: 229810879995 | ANG: 211000000000
CODE: PAJ-KK-BPHTB | REAL: 282529546294 | ANG: 220000000000
CODE: RET-JU-KEBERSIHAN | REAL: 5599205020 | ANG: 4500000000
CODE: RET-JU-PASAR | REAL: 17445732926 | ANG: 17210715000
CODE: RET-JU-KESEHATAN | REAL: 33024605054 | ANG: 30076775000
CODE: RET-JU-LALIN | REAL: 1266797108 | ANG: 992110000
CODE: RET-JUS-PENGINAPAN | REAL: 0 | ANG: 4000000000
CODE: RET-JUS-TEMPAT-USAHA | REAL: 962113507 | ANG: 857135000
CODE: RET-JUS-PENYEBERANGAN | REAL: 465208500 | ANG: 856820250
CODE: RET-PT-PBG | REAL: 52566786718 | ANG: 43607358550
CODE: RET-PT-TKA | REAL: 7416000 | ANG: 5000000
CODE: PBJT-HOTEL | REAL: 22209931286 | ANG: 19400000000
