=== SHEETS ===
Sheet names: [2021, 2022, 2023, 2024, 2025, LINE]


========== SHEET: 2021 ==========
Max Rows: 126
Row 0: [0]: | [1]: | [2]: | [3]: | [4]: | [5]: | [6]: | [7]: | [8]: | [9]: | [10]: | [11]: | [12]: | [13]: | [14]: | [15]: | [16]: | [17]:
Row 1: [0]: | [1]:NO. | [2]:DAERAH | [3]:PENDAPATAN ASLI DAERAH TA 2021 | [4]: | [5]: | [6]: | [7]: | [8]: | [9]: | [10]: | [11]: | [12]: | [13]: | [14]: | [15]:TOTAL PENDAPATAN ASLI DAERAH | [16]: | [17]:
Row 2: [0]: | [1]: | [2]: | [3]: | [4]: | [5]: | [6]: | [7]: | [8]: | [9]: | [10]: | [11]: | [12]: | [13]: | [14]: | [15]: | [16]: | [17]:
Row 3: [0]: | [1]: | [2]: | [3]: | [4]: | [5]: | [6]: | [7]: | [8]: | [9]: | [10]: | [11]: | [12]: | [13]: | [14]: | [15]: | [16]: | [17]:
Row 4: [0]: | [1]: | [2]: | [3]:\ | [4]: | [5]: | [6]:RETRIBUSI | [7]: | [8]: | [9]:PENGELOLAAN KEKAYAAN | [10]: | [11]: | [12]:LAIN PAD | [13]: | [14]: | [15]: | [16]: | [17]:
Row 5: [0]: | [1]: | [2]: | [3]:ANGGARAN | [4]:REALISASI | [5]:% | [6]:ANGGARAN | [7]:REALISASI | [8]:% | [9]:ANGGARAN | [10]:REALISASI | [11]:% | [12]:ANGGARAN | [13]:REALISASI | [14]:% | [15]:ANGGARAN | [16]:REALISASI | [17]:%
Row 6: [0]: | [1]: | [2]: | [3]: | [4]: | [5]: | [6]: | [7]: | [8]: | [9]: | [10]: | [11]: | [12]: | [13]: | [14]: | [15]: | [16]: | [17]:
Row 7: [0]: | [1]:XI | [2]:Prov. DKI Jakarta | [3]:37215000000000 | [4]:34550405525182.3 | [5]:IF(OR(D8=0,E8=0),0,(E8/D8)*100... | [6]:755755000000 | [7]:382136507516 | [8]:IF(OR(G8=0,H8=0),0,(H8/G8)*100... | [9]:390254277917 | [10]:385494014852 | [11]:IF(OR(J8=0,K8=0),0,(K8/J8)*100... | [12]:6821077973050 | [13]:6482116959556.69 | [14]:IF(OR(M8=0,N8=0),0,(N8/M8)*100... | [15]:D8+G8+J8+M8 | [16]: | [17]:IF(OR(P8=0,Q8=0),0,(Q8/P8)*100...
Row 8: [0]: | [1]:XII | [2]:Prov. Jawa Barat | [3]:17983290282110 | [4]:18847793728565 | [5]: | [6]:43352284698 | [7]:43051699952 | [8]: | [9]:415327213589 | [10]:414780606267 | [11]: | [12]:1111566563540 | [13]:905270879756 | [14]: | [15]: | [16]: | [17]:
Row 9: [0]: | [1]:1 | [2]:Kab. Bandung | [3]:510575000000 | [4]:510530594186 | [5]: | [6]:24665491984.4 | [7]:25759623545 | [8]: | [9]:75346485281 | [10]:75336872741 | [11]: | [12]:399456631882.4 | [13]:372946186487.81 | [14]: | [15]: | [16]: | [17]:
Row 10: [0]: | [1]:2 | [2]:Kab. Bandung Barat | [3]:391200000000 | [4]:363095176294 | [5]: | [6]:37698929439 | [7]:16012603926 | [8]: | [9]:494842021 | [10]:628894651 | [11]: | [12]:152891452614 | [13]:16573746851 | [14]: | [15]: | [16]: | [17]:
Row 11: [0]: | [1]:3 | [2]:Kab. Bekasi | [3]:2065328229205 | [4]:2008129085125.6 | [5]: | [6]:167329690000 | [7]:182608474416 | [8]: | [9]:20176437653 | [10]:18729447485 | [11]: | [12]:299673834154 | [13]:219685767139.4 | [14]: | [15]: | [16]: | [17]:
Row 12: [0]: | [1]:4 | [2]:Kab. Bogor | [3]:2090578509000 | [4]:2462339432505 | [5]: | [6]:137901142404 | [7]:115545927200 | [8]: | [9]:64271727832 | [10]:71303513920 | [11]: | [12]:998571308721 | [13]:1059228927347 | [14]: | [15]: | [16]: | [17]:
Row 13: [0]: | [1]:5 | [2]:Kab. Ciamis | [3]:65525000000 | [4]:70573588106 | [5]:IF(OR(D14=0,E14=0),0,E14/D14*1... | [6]:6673505000 | [7]:7512811662 | [8]:IF(OR(G14=0,H14=0),0,H14/G14*1... | [9]:3700000000 | [10]:3246369013 | [11]:IF(OR(J14=0,K14=0),0,K14/J14*1... | [12]:162834235500 | [13]:191670347124 | [14]:IF(OR(M14=0,N14=0),0,N14/M14*1... | [15]:M14+J14+G14+D14 | [16]:N14+K14+H14+E14 | [17]:IF(OR(P14=0,Q14=0),0,Q14/P14*1...
Row 14: [0]: | [1]:6 | [2]:Kab. Cianjur | [3]:182273728515 | [4]:193954158229 | [5]:IF(OR(D15=0,E15=0),0,(E15/D15)... | [6]:23536408109 | [7]:17521195138 | [8]:IF(OR(G15=0,H15=0),0,(H15/G15)... | [9]:10006537642 | [10]:10321223500 | [11]:IF(OR(J15=0,K15=0),0,(K15/J15)... | [12]:522406070501 | [13]:420971577143 | [14]:IF(OR(M15=0,N15=0),0,(N15/M15)... | [15]:D15+G15+J15+M15 | [16]:E15+H15+K15+N15 | [17]:IF(OR(P15=0,Q15=0),0,(Q15/P15)...
Row 15: [0]: | [1]:7 | [2]:Kab. Cirebon | [3]:240056882000 | [4]:263053751571 | [5]:IF(OR(D16=0,E16=0),0,(E16/D16)... | [6]:37505759240 | [7]:31921261201 | [8]:IF(OR(G16=0,H16=0),0,(H16/G16)... | [9]:14633523000 | [10]:12583255177 | [11]:IF(OR(J16=0,K16=0),0,(K16/J16)... | [12]:330337006907 | [13]:337146407799.45 | [14]:IF(OR(M16=0,N16=0),0,(N16/M16)... | [15]:D16+G16+J16+M16 | [16]:E16+H16+K16+N16 | [17]:IF(OR(P16=0,Q16=0),0,(Q16/P16)...
Row 16: [0]: | [1]:8 | [2]:Kab. Garut | [3]:122382000000 | [4]:126588915160 | [5]:IF(OR(D17=0,E17=0),0,E17/D17*1... | [6]:17559136763 | [7]:15259959070 | [8]:IF(OR(G17=0,H17=0),0,H17/G17*1... | [9]:6455066612 | [10]:6455066625 | [11]:IF(OR(J17=0,K17=0),0,K17/J17*1... | [12]:346496738813 | [13]:412479436063.61 | [14]:IF(OR(M17=0,N17=0),0,N17/M17*1... | [15]:M17+J17+G17+D17 | [16]:N17+K17+H17+E17 | [17]:IF(OR(P17=0,Q17=0),0,Q17/P17*1...
Row 17: [0]: | [1]:9 | [2]:Kab. Indramayu | [3]:103135000000 | [4]:118703383503 | [5]:IF(OR(D18=0,E18=0),0,(E18/D18)... | [6]:26766588250 | [7]:24744740098 | [8]:IF(OR(G18=0,H18=0),0,(H18/G18)... | [9]:16349133073 | [10]:15672938564 | [11]:IF(OR(J18=0,K18=0),0,(K18/J18)... | [12]:360427403000 | [13]:290114349197 | [14]:IF(OR(M18=0,N18=0),0,(N18/M18)... | [15]:D18+G18+J18+M18 | [16]:E18+H18+K18+N18 | [17]:IF(OR(P18=0,Q18=0),0,(Q18/P18)...
Row 18: [0]: | [1]:10 | [2]:Kab. Karawang | [3]:925965743000 | [4]:1013577625833 | [5]:IF(OR(D19=0,E19=0),0,E19/D19*1... | [6]:57387862360 | [7]:69152425074 | [8]:IF(OR(G19=0,H19=0),0,H19/G19*1... | [9]:5536491978 | [10]:7946102415 | [11]:IF(OR(J19=0,K19=0),0,K19/J19*1... | [12]:438301921843 | [13]:560976188506 | [14]:IF(OR(M19=0,N19=0),0,N19/M19*1... | [15]:M19+J19+G19+D19 | [16]:N19+K19+H19+E19 | [17]:IF(OR(P19=0,Q19=0),0,Q19/P19*1...
Row 19: [0]: | [1]:11 | [2]:Kab. Kuningan | [3]:93422750000 | [4]:92330861227 | [5]:IF(OR(D20=0,E20=0),0,E20/D20*1... | [6]:79655387010 | [7]:68294838837 | [8]:IF(OR(G20=0,H20=0),0,H20/G20*1... | [9]:5907864248 | [10]:5907864248 | [11]:IF(OR(J20=0,K20=0),0,K20/J20*1... | [12]:179122143360 | [13]:179100406316 | [14]:IF(OR(M20=0,N20=0),0,N20/M20*1... | [15]:M20+J20+G20+D20 | [16]:N20+K20+H20+E20 | [17]:IF(OR(P20=0,Q20=0),0,Q20/P20*1...
Row 20: [0]: | [1]:12 | [2]:Kab. Majalengka | [3]:163513872642 | [4]:143395491452 | [5]:IF(OR(D21=0,E21=0),0,(E21/D21)... | [6]:20616923893 | [7]:15511365009 | [8]:IF(OR(G21=0,H21=0),0,(H21/G21)... | [9]:5975849841 | [10]:5944980467 | [11]:IF(OR(J21=0,K21=0),0,(K21/J21)... | [12]:336175891199 | [13]:257397084389.29 | [14]:IF(OR(M21=0,N21=0),0,(N21/M21)... | [15]:D21+G21+J21+M21 | [16]:E21+H21+K21+N21 | [17]:IF(OR(P21=0,Q21=0),0,(Q21/P21)...
Row 21: [0]: | [1]:13 | [2]:Kab. Pangandaran | [3]:58020065000 | [4]:49719916743 | [5]:IF(OR(D22=0,E22=0),0,(E22/D22)... | [6]:57684200000 | [7]:90352117638 | [8]:IF(OR(G22=0,H22=0),0,(H22/G22)... | [9]:261866550 | [10]:0 | [11]:IF(OR(J22=0,K22=0),0,(K22/J22)... | [12]:34295735000 | [13]:31715482296 | [14]:IF(OR(M22=0,N22=0),0,(N22/M22)... | [15]:D22+G22+J22+M22 | [16]:E22+H22+K22+N22 | [17]:IF(OR(P22=0,Q22=0),0,(Q22/P22)...
Row 22: [0]: | [1]:14 | [2]:Kab. Purwakarta | [3]:362222567311 | [4]:286419033471 | [5]:IF(OR(D23=0,E23=0),0,E23/D23*1... | [6]:37027771059 | [7]:22871216419 | [8]:IF(OR(G23=0,H23=0),0,H23/G23*1... | [9]:7010000000 | [10]:5749586485 | [11]:IF(OR(J23=0,K23=0),0,K23/J23*1... | [12]:179515462792 | [13]:199885999455 | [14]:IF(OR(M23=0,N23=0),0,N23/M23*1... | [15]:M23+J23+G23+D23 | [16]:N23+K23+H23+E23 | [17]:IF(OR(P23=0,Q23=0),0,Q23/P23*1...
Row 23: [0]: | [1]:15 | [2]:Kab. Subang | [3]:326008650331 | [4]:230131644480 | [5]:IF(OR(D24=0,E24=0),0,(E24/D24)... | [6]:28183038500 | [7]:15978195844 | [8]:IF(OR(G24=0,H24=0),0,(H24/G24)... | [9]:37665000000 | [10]:21412189634 | [11]:IF(OR(J24=0,K24=0),0,(K24/J24)... | [12]:222937482833 | [13]:167148668812 | [14]:IF(OR(M24=0,N24=0),0,(N24/M24)... | [15]:D24+G24+J24+M24 | [16]:E24+H24+K24+N24 | [17]:IF(OR(P24=0,Q24=0),0,(Q24/P24)...
Row 24: [0]: | [1]:16 | [2]:Kab. Sukabumi | [3]:269732000000 | [4]:284490305055 | [5]:IF(OR(D25=0,E25=0),0,(E25/D25)... | [6]:19593435000 | [7]:16063599674 | [8]:IF(OR(G25=0,H25=0),0,(H25/G25)... | [9]:10343000000 | [10]:10368839763 | [11]:IF(OR(J25=0,K25=0),0,(K25/J25)... | [12]:352254771231 | [13]:295408160716 | [14]:IF(OR(M25=0,N25=0),0,(N25/M25)... | [15]:D25+G25+J25+M25 | [16]:E25+H25+K25+N25 | [17]:IF(OR(P25=0,Q25=0),0,(Q25/P25)...
Row 25: [0]: | [1]:17 | [2]:Kab. Sumedang | [3]:217313708500 | [4]:198243612757 | [5]:IF(OR(D26=0,E26=0),0,E26/D26*1... | [6]:16282030378 | [7]:6733798976 | [8]:IF(OR(G26=0,H26=0),0,H26/G26*1... | [9]:12692068000 | [10]:11164520965 | [11]:IF(OR(J26=0,K26=0),0,K26/J26*1... | [12]:240298331461 | [13]:254137790064.29 | [14]:IF(OR(M26=0,N26=0),0,N26/M26*1... | [15]:M26+J26+G26+D26 | [16]:N26+K26+H26+E26 | [17]:IF(OR(P26=0,Q26=0),0,Q26/P26*1...
Row 26: [0]: | [1]:18 | [2]:Kab. Tasikmalaya | [3]:89383145412 | [4]:75239545192 | [5]:IF(OR(D27=0,E27=0),0,E27/D27*1... | [6]:9874182998 | [7]:5150543572 | [8]:IF(OR(G27=0,H27=0),0,H27/G27*1... | [9]:28446283298 | [10]:23193457737 | [11]:IF(OR(J27=0,K27=0),0,K27/J27*1... | [12]:300479018808 | [13]:271340937399.5 | [14]:IF(OR(M27=0,N27=0),0,N27/M27*1... | [15]:M27+J27+G27+D27 | [16]:N27+K27+H27+E27 | [17]:IF(OR(P27=0,Q27=0),0,Q27/P27*1...
Row 27: [0]: | [1]:19 | [2]:Kota Bandung | [3]:1808750000000 | [4]:1645874901057 | [5]:IF(OR(D28=0,E28=0),0,(E28/D28)... | [6]:69506809600 | [7]:29956638919 | [8]:IF(OR(G28=0,H28=0),0,(H28/G28)... | [9]:18885582468 | [10]:15777448799 | [11]:IF(OR(J28=0,K28=0),0,(K28/J28)... | [12]:512661936120 | [13]:350175732712.62 | [14]:IF(OR(M28=0,N28=0),0,(N28/M28)... | [15]:D28+G28+J28+M28 | [16]:E28+H28+K28+N28 | [17]:IF(OR(P28=0,Q28=0),0,(Q28/P28)...
Row 28: [0]: | [1]:20 | [2]:Kota Banjar | [3]:15101024696 | [4]:17459366138 | [5]:IF(OR(D29=0,E29=0),0,E29/D29*1... | [6]:3273575799 | [7]:3219363012 | [8]:IF(OR(G29=0,H29=0),0,H29/G29*1... | [9]:3925340000 | [10]:3925340000 | [11]:IF(OR(J29=0,K29=0),0,K29/J29*1... | [12]:115753550987 | [13]:102500402923 | [14]:IF(OR(M29=0,N29=0),0,N29/M29*1... | [15]:M29+J29+G29+D29 | [16]:N29+K29+H29+E29 | [17]:IF(OR(P29=0,Q29=0),0,Q29/P29*1...
Row 29: [0]: | [1]:21 | [2]:Kota Bekasi | [3]:1841686983386 | [4]:1710904928234 | [5]:IF(OR(D30=0,E30=0),0,(E30/D30)... | [6]:94602066427 | [7]:67443011771 | [8]:IF(OR(G30=0,H30=0),0,(H30/G30)... | [9]:13162087452 | [10]:14152236353 | [11]:IF(OR(J30=0,K30=0),0,(K30/J30)... | [12]:543503419214 | [13]:763117521117 | [14]:IF(OR(M30=0,N30=0),0,(N30/M30)... | [15]:D30+G30+J30+M30 | [16]: | [17]:IF(OR(P30=0,Q30=0),0,(Q30/P30)...


========== SHEET: 2022 ==========
Max Rows: 126
Row 0: [0]: | [1]: | [2]: | [3]: | [4]: | [5]: | [6]: | [7]: | [8]: | [9]: | [10]: | [11]: | [12]: | [13]: | [14]: | [15]: | [16]: | [17]:
Row 1: [0]: | [1]:NO. | [2]:DAERAH | [3]:PENDAPATAN DAERAH | [4]: | [5]: | [6]: | [7]: | [8]: | [9]: | [10]: | [11]: | [12]: | [13]: | [14]: | [15]: | [16]: | [17]:
Row 2: [0]: | [1]: | [2]: | [3]:PENDAPATAN ASLI DAERAH TA 2022 | [4]: | [5]: | [6]: | [7]: | [8]: | [9]: | [10]: | [11]: | [12]: | [13]: | [14]: | [15]:TOTAL PENDAPATAN ASLI DAERAH | [16]: | [17]:
Row 3: [0]: | [1]: | [2]: | [3]: | [4]: | [5]: | [6]: | [7]: | [8]: | [9]: | [10]: | [11]: | [12]: | [13]: | [14]: | [15]: | [16]: | [17]:
Row 4: [0]: | [1]: | [2]: | [3]:PAJAK | [4]: | [5]: | [6]:RETRIBUSI | [7]: | [8]: | [9]:PENGELOLAAN KEKAYAAN | [10]: | [11]: | [12]:LAIN PAD | [13]: | [14]: | [15]: | [16]: | [17]:
Row 5: [0]: | [1]: | [2]: | [3]:ANGGARAN | [4]:REALISASI | [5]:% | [6]:ANGGARAN | [7]:REALISASI | [8]:% | [9]:ANGGARAN | [10]:REALISASI | [11]:% | [12]:ANGGARAN | [13]:REALISASI | [14]:% | [15]:ANGGARAN | [16]:REALISASI | [17]:%
Row 6: [0]: | [1]: | [2]: | [3]: | [4]: | [5]: | [6]: | [7]: | [8]: | [9]: | [10]: | [11]: | [12]: | [13]: | [14]: | [15]: | [16]: | [17]:
Row 7: [0]: | [1]:XI | [2]:Prov. DKI Jakarta | [3]:45700000000000 | [4]:40267758921920 | [5]:88.11 | [6]:806878300000 | [7]:376351733175 | [8]:46.64 | [9]:793735537821 | [10]:402424109447 | [11]:50.7 | [12]:8362220915771 | [13]:4595602552253 | [14]:54.96 | [15]:55662834753592 | [16]:45642137316795 | [17]:82
Row 8: [0]: | [1]:XII | [2]:Prov. Jawa Barat | [3]:20648581527631 | [4]:21542606068935 | [5]:104.33 | [6]:35567675778 | [7]:44957581179 | [8]:126.4 | [9]:470587591603 | [10]:468989416325 | [11]:99.66 | [12]:993549788152 | [13]:1378135624592.57 | [14]:138.71 | [15]:22148286583164 | [16]:23434688691031.6 | [17]:105.81
Row 9: [0]: | [1]:1 | [2]:Kab. Bandung | [3]:690995000000 | [4]:680549043678 | [5]:98.49 | [6]:43526598570 | [7]:27946187950 | [8]:64.2 | [9]:85466703392 | [10]:85400668931 | [11]:99.92 | [12]:428870558241 | [13]:443512924564.48 | [14]:103.41 | [15]:1248858860203 | [16]:1237408825123.48 | [17]:99.08
Row 10: [0]: | [1]:2 | [2]:Kab. Bandung Barat | [3]:480000000000 | [4]:495814400587 | [5]:103.29 | [6]:21341968392 | [7]:15097577355 | [8]:70.74 | [9]:989684042 | [10]:1253070525 | [11]:126.61 | [12]:238595294659 | [13]:155077001448.06 | [14]:65 | [15]:740926947093 | [16]:667242049915.06 | [17]:90.06
Row 11: [0]: | [1]:3 | [2]:Kab. Bekasi | [3]:1979845186486 | [4]:2108177572697.74 | [5]:106.48 | [6]:120576106600 | [7]:128564402932 | [8]:106.63 | [9]:22477494378 | [10]:14329605755 | [11]:63.75 | [12]:252940323351 | [13]:278970499533.26 | [14]:110.29 | [15]:2375839110815 | [16]:2530042080918 | [17]:106.49
Row 12: [0]: | [1]:4 | [2]:Kab. Bogor | [3]:2369772820000 | [4]:2595228087872 | [5]:109.51 | [6]:153751721189 | [7]:93422330864 | [8]:60.76 | [9]:74195370019 | [10]:75860020313 | [11]:102.24 | [12]:1141373842822 | [13]:964314942645.06 | [14]:84.49 | [15]:3739093754030 | [16]:3728825381694.06 | [17]:99.73
Row 13: [0]: | [1]:5 | [2]:Kab. Ciamis | [3]:74654807000 | [4]:77808970542.7 | [5]:104.22 | [6]:9135739886 | [7]:10312229054 | [8]:112.88 | [9]:3700000000 | [10]:3943875706 | [11]:106.59 | [12]:195172756416 | [13]:208765202173 | [14]:106.96 | [15]:282663303302 | [16]:300830277475.7 | [17]:106.43
